sector,expectedTerritory,status,addressCount,detail
G62 6,Glasgow North,PASS,144,""
G45 9,Glasgow South,PASS,204,""
G76 9,Glasgow South,PASS,65,""
G53 5,Glasgow South,PASS,225,""
G74 1,Glasgow South,PASS,135,""
G42 0,Glasgow South,PASS,106,""
G51 3,Glasgow South,PASS,151,""
G46 6,Glasgow South,PASS,228,""
G44 3,Glasgow South,PASS,228,""
G43 2,Glasgow South,PASS,243,""
G45 0,Glasgow South,PASS,102,""
G46 8,Glasgow South,PASS,197,""
G51 2,Glasgow South,PASS,140,""
G5 0,Glasgow South,PASS,182,""
G41 5,Glasgow South,PASS,177,""
G5 9,Glasgow South,PASS,87,""
G73 2,Glasgow South,PASS,186,""
G73 3,Glasgow South,PASS,213,""
G77 6,Glasgow South,PASS,372,""
G42 7,Glasgow South,PASS,132,""
G51 4,Glasgow South,PASS,245,""
G42 8,Glasgow South,PASS,206,""
G52 2,Glasgow South,PASS,213,""
G41 2,Glasgow South,PASS,147,""
G41 3,Glasgow South,PASS,230,""
G74 3,Glasgow South,PASS,264,""
G52 1,Glasgow South,PASS,194,""
G41 4,Glasgow South,PASS,166,""
G44 5,Glasgow South,PASS,190,""
G76 7,Glasgow South,PASS,230,""
G5 8,Glasgow South,PASS,86,""
G52 4,Glasgow South,PASS,157,""
G74 2,Glasgow South,PASS,121,""
G74 4,Glasgow South,PASS,302,""
G77 5,Glasgow South,PASS,309,""
G76 8,Glasgow South,PASS,187,""
G43 1,Glasgow South,PASS,189,""
G74 5,Glasgow South,PASS,101,""
G41 1,Glasgow South,PASS,97,""
G46 7,Glasgow South,PASS,218,""
G75 8,Glasgow South,PASS,386,""
G76 0,Glasgow South,PASS,138,""
G52 3,Glasgow South,PASS,189,""
G51 1,Glasgow South,PASS,132,""
G42 9,Glasgow South,PASS,195,""
G73 1,Glasgow South,PASS,117,""
G44 4,Glasgow South,PASS,197,""
G32 6,North Lanarkshire and Glasgow East,PASS,206,""
G34 9,North Lanarkshire and Glasgow East,PASS,119,""
G33 5,North Lanarkshire and Glasgow East,PASS,111,""
ML5 3,North Lanarkshire and Glasgow East,PASS,133,""
G67 1,North Lanarkshire and Glasgow East,PASS,110,""
ML5 4,North Lanarkshire and Glasgow East,PASS,268,""
G34 0,North Lanarkshire and Glasgow East,PASS,89,""
G31 2,North Lanarkshire and Glasgow East,PASS,176,""
ML6 6,North Lanarkshire and Glasgow East,PASS,219,""
G33 2,North Lanarkshire and Glasgow East,PASS,193,""
G32 9,North Lanarkshire and Glasgow East,PASS,165,""
ML5 5,North Lanarkshire and Glasgow East,PASS,213,""
G33 6,North Lanarkshire and Glasgow East,PASS,218,""
ML5 1,North Lanarkshire and Glasgow East,PASS,160,""
G33 3,North Lanarkshire and Glasgow East,PASS,175,""
FK1 3,North Lanarkshire and Glasgow East,PASS,92,""
G33 4,North Lanarkshire and Glasgow East,PASS,181,""
G69 6,North Lanarkshire and Glasgow East,PASS,241,""
G31 4,North Lanarkshire and Glasgow East,PASS,161,""
ML5 2,North Lanarkshire and Glasgow East,PASS,236,""
G31 5,North Lanarkshire and Glasgow East,PASS,72,""
G69 0,North Lanarkshire and Glasgow East,PASS,184,""
G69 8,North Lanarkshire and Glasgow East,PASS,131,""
G68 0,North Lanarkshire and Glasgow East,PASS,145,""
ML6 7,North Lanarkshire and Glasgow East,PASS,278,""
FK6 5,North Lanarkshire and Glasgow East,PASS,179,""
G32 7,North Lanarkshire and Glasgow East,PASS,184,""
G67 2,North Lanarkshire and Glasgow East,PASS,209,""
G32 0,North Lanarkshire and Glasgow East,PASS,184,""
G31 3,North Lanarkshire and Glasgow East,PASS,141,""
G69 9,North Lanarkshire and Glasgow East,PASS,159,""
G68 9,North Lanarkshire and Glasgow East,PASS,183,""
FK1 2,North Lanarkshire and Glasgow East,PASS,199,""
ML6 0,North Lanarkshire and Glasgow East,PASS,159,""
G33 1,North Lanarkshire and Glasgow East,PASS,229,""
G66 5,North Lanarkshire and Glasgow East,PASS,143,""
G32 8,North Lanarkshire and Glasgow East,PASS,242,""
ML7 5,North Lanarkshire and Glasgow East,PASS,259,""
G67 4,North Lanarkshire and Glasgow East,PASS,165,""
G69 7,North Lanarkshire and Glasgow East,PASS,273,""
FK4 2,North Lanarkshire and Glasgow East,PASS,97,""
G67 3,North Lanarkshire and Glasgow East,PASS,117,""
ML7 4,North Lanarkshire and Glasgow East,PASS,154,""
FK4 1,North Lanarkshire and Glasgow East,PASS,242,""
ML6 9,North Lanarkshire and Glasgow East,PASS,241,""
ML2 9,North Lanarkshire and Glasgow East,PASS,176,""
G65 0,North Lanarkshire and Glasgow East,PASS,195,""
ML6 8,North Lanarkshire and Glasgow East,PASS,309,""
G65 9,North Lanarkshire and Glasgow East,PASS,207,""
PH1 2,Perthshire,PASS,240,""
PH6 2,Perthshire,PASS,115,""
PH14 9,Perthshire,PASS,70,""
DD6 9,Perthshire,PASS,150,""
PH4 1,Perthshire,PASS,33,""
PH1 4,Perthshire,PASS,192,""
KY14 7,Perthshire,PASS,166,""
KY14 6,Perthshire,PASS,109,""
KY16 0,Perthshire,PASS,164,""
DD6 8,Perthshire,PASS,205,""
PH5 2,Perthshire,PASS,43,""
PH1 5,Perthshire,PASS,223,""
PH13 9,Perthshire,PASS,184,""
KY15 4,Perthshire,PASS,214,""
PH2 8,Perthshire,PASS,149,""
PH2 6,Perthshire,PASS,270,""
PH2 9,Perthshire,PASS,242,""
DD2 5,Perthshire,PASS,260,""
PH7 4,Perthshire,PASS,127,""
PH1 1,Perthshire,PASS,237,""
PH2 7,Perthshire,PASS,287,""
PH7 3,Perthshire,PASS,235,""
PH3 1,Perthshire,PASS,247,""
PH1 3,Perthshire,PASS,328,""
PH2 0,Perthshire,PASS,244,""
TD1 1,Scottish Borders,PASS,195,""
TD1 2,Scottish Borders,PASS,234,""
TD1 3,Scottish Borders,PASS,201,""
TD2 6,Scottish Borders,PASS,106,""
TD3 6,Scottish Borders,PASS,46,""
TD4 6,Scottish Borders,PASS,109,""
TD5 7,Scottish Borders,PASS,253,""
TD5 8,Scottish Borders,PASS,197,""
TD6 0,Scottish Borders,PASS,157,""
TD6 9,Scottish Borders,PASS,227,""
TD7 4,Scottish Borders,PASS,168,""
TD7 5,Scottish Borders,PASS,127,""
TD8 6,Scottish Borders,PASS,271,""
TD9 0,Scottish Borders,PASS,218,""
TD9 7,Scottish Borders,PASS,135,""
TD9 8,Scottish Borders,PASS,217,""
TD9 9,Scottish Borders,PASS,184,""
TD10 6,Scottish Borders,PASS,42,""
TD11 3,Scottish Borders,PASS,294,""
TD12 4,Scottish Borders,FAIL,237,"Centroid falls outside ALL territory polygons (likely clipped by coverage mask)"
TD13 5,Scottish Borders,PASS,42,""
TD14 5,Scottish Borders,PASS,258,""
KA10 6,South Ayrshire and Kilmarnock,PASS,246,""
KA8 0,South Ayrshire and Kilmarnock,PASS,196,""
KA1 3,South Ayrshire and Kilmarnock,PASS,217,""
KA7 2,South Ayrshire and Kilmarnock,PASS,204,""
KA2 0,South Ayrshire and Kilmarnock,PASS,124,""
